utmx utmy Watershednum elevation aspect slope
278945 4866075 9 697 5.710593 14.10346
278955 4866075 9 697 3.012788 13.37805
278965 4866075 9 697 3.366461 12.01703
278975 4866075 9 697 3.366461 12.01703
278985 4866075 9 697 3.012788 13.37805
278995 4866075 9 697 0 14.03624
279005 4866075 9 697 354.2894 14.10346
279015 4866075 9 697 343.3008 14.62828
279025 4866075 9 698 338.1986 15.06996
279035 4866075 9 699 329.9314 15.34595
277715 4866085 7 722 45 7.054132
277725 4866085 7 721 45 8.049467
277735 4866085 7 720 45 8.049467
277745 4866085 7 719 35.53768 6.13738
277755 4866085 7 719 33.69007 5.150652
277765 4866085 7 718 45 6.054499
277775 4866085 7 717 45 5.051153
277785 4866085 7 717 45 5.051153
277795 4866085 7 716 45 6.054499
277805 4866085 7 715 33.69007 5.150652
277815 4866085 7 715 35.53768 6.13738
277825 4866085 7 714 45 8.049467
277835 4866085 7 713 45 7.054132
277845 4866085 7 712 33.69007 5.150652
277855 4866085 7 712 35.53768 6.13738
277865 4866085 7 711 45 8.049467
277875 4866085 7 710 45 8.049467
277885 4866085 7 709 45 7.054132
277895 4866085 7 708 33.69007 5.150652
277905 4866085 7 708 35.53768 6.13738
277915 4866085 7 707 26.56505 6.37937
277925 4866085 7 707 26.56505 6.37937
277935 4866085 7 706 26.56505 6.37937
277945 4866085 7 706 0 5.710593
277955 4866085 7 706 26.56505 6.37937
277965 4866085 7 705 26.56505 6.37937
277975 4866085 7 705 0 5.710593
277985 4866085 7 705 0 5.710593
277995 4866085 7 705 6.340192 6.457954
278005 4866085 7 705 15.25512 8.111279
278015 4866085 7 704 9.462322 8.64667
278025 4866085 7 704 0 8.530766
278035 4866085 7 704 350.5377 8.64667
278045 4866085 7 705 350.5377 8.64667
278055 4866085 7 705 0 8.530766
278065 4866085 7 705 0 8.530766
278075 4866085 7 705 350.5377 8.64667
278085 4866085 7 705 341.5651 8.984877
278095 4866085 7 706 347.0054 9.468127
278105 4866085 7 706 344.0546 10.31508
278115 4866085 7 707 347.0054 9.468127
278125 4866085 7 707 0 8.530766
278135 4866085 7 707 350.5377 8.64667
278145 4866085 7 707 341.5651 8.984877
278155 4866085 7 708 350.5377 8.64667
278165 4866085 7 708 0 8.530766
278175 4866085 7 708 350.5377 8.64667
278185 4866085 7 708 350.5377 8.64667
278195 4866085 7 708 350.5377 8.64667
278205 4866085 7 709 347.0054 9.468127
278215 4866085 7 709 356.1859 10.64269
278225 4866085 7 709 356.1859 10.64269
278235 4866085 7 709 347.0054 9.468127
278245 4866085 7 710 347.0054 9.468127
278255 4866085 7 710 356.1859 10.64269
278265 4866085 7 710 356.1859 10.64269
278275 4866085 7 710 347.0054 9.468127
278845 4866085 9 695 333.4349 12.60438
278855 4866085 9 696 333.4349 12.60438
278865 4866085 9 697 333.4349 12.60438
278875 4866085 9 698 333.4349 12.60438
278885 4866085 9 699 345.9637 11.64863
278895 4866085 9 699 0 11.30993
278905 4866085 9 699 349.992 12.17678
278915 4866085 9 700 351.0274 13.51969
278925 4866085 9 700 356.9872 13.37805
278935 4866085 9 700 0 12.68038
278945 4866085 9 700 3.012788 13.37805
278955 4866085 9 700 5.710593 14.10346
278965 4866085 9 699 5.710593 14.10346
278975 4866085 9 699 0 14.03624
278985 4866085 9 699 0 14.03624
278995 4866085 9 699 0 14.03624
279005 4866085 9 699 351.8699 14.85106
279015 4866085 9 700 344.7449 15.90988
279025 4866085 9 701 341.5651 15.46673
279035 4866085 9 702 334.6538 14.72425
279045 4866085 9 703 330.9454 14.43409
277705 4866095 7 723 33.69007 5.150652
277715 4866095 7 723 35.53768 6.13738
277725 4866095 7 722 45 8.049467
277735 4866095 7 721 45 8.049467
277745 4866095 7 720 45 7.054132
277755 4866095 7 719 33.69007 5.150652
277765 4866095 7 719 35.53768 6.13738
277775 4866095 7 718 45 7.054132
277785 4866095 7 717 33.69007 5.150652
277795 4866095 7 717 35.53768 6.13738
277805 4866095 7 716 35.53768 6.13738
277815 4866095 7 716 33.69007 5.150652
277825 4866095 7 715 45 7.054132
277835 4866095 7 714 45 8.049467
277845 4866095 7 713 26.56505 6.37937
277855 4866095 7 713 26.56505 6.37937
277865 4866095 7 712 45 8.049467
277875 4866095 7 711 45 8.049467
277885 4866095 7 710 45 8.049467
277895 4866095 7 709 26.56505 6.37937
277905 4866095 7 709 26.56505 6.37937
277915 4866095 7 708 26.56505 6.37937
277925 4866095 7 708 26.56505 6.37937
277935 4866095 7 707 26.56505 6.37937
277945 4866095 7 707 0 5.710593
277955 4866095 7 707 18.43495 6.762861
277965 4866095 7 706 21.80141 7.667577
277975 4866095 7 706 6.340192 6.457954
277985 4866095 7 706 0 5.710593
277995 4866095 7 706 0 5.710593
278005 4866095 7 706 6.340192 6.457954
278015 4866095 7 706 5.194429 7.860959
278025 4866095 7 706 0 8.530766
278035 4866095 7 706 354.8056 7.860959
278045 4866095 7 706 353.6598 6.457954
278055 4866095 7 706 0 5.710593
278065 4866095 7 706 353.6598 6.457954
278075 4866095 7 706 344.7449 8.111279
278085 4866095 7 707 344.7449 8.111279
278095 4866095 7 707 338.1986 7.667577
278105 4866095 7 708 338.1986 7.667577
278115 4866095 7 708 353.6598 6.457954
278125 4866095 7 708 353.6598 6.457954
278135 4866095 7 708 344.7449 8.111279
278145 4866095 7 709 344.7449 8.111279
278155 4866095 7 709 348.6901 7.264627
278165 4866095 7 709 354.8056 7.860959
278175 4866095 7 709 350.5377 8.64667
278185 4866095 7 710 347.0054 9.468127
278195 4866095 7 710 351.8699 10.02499
278205 4866095 7 710 347.0054 9.468127
278215 4866095 7 711 350.5377 8.64667
278225 4866095 7 711 355.6013 9.256682
278235 4866095 7 711 351.8699 10.02499
278245 4866095 7 711 347.0054 9.468127
278255 4866095 7 712 347.0054 9.468127
278265 4866095 7 712 356.1859 10.64269
278275 4866095 7 712 356.1859 10.64269
278285 4866095 7 712 355.6013 9.256682
278825 4866095 9 695 0 11.30993
278835 4866095 9 696 339.444 12.05719
278845 4866095 9 697 333.4349 12.60438
278855 4866095 9 698 333.4349 12.60438
278865 4866095 9 699 333.4349 12.60438
278875 4866095 9 700 333.4349 12.60438
278885 4866095 9 701 345.9637 11.64863
278895 4866095 9 701 0 11.30993
278905 4866095 9 701 345.9637 11.64863
278915 4866095 9 702 345.9637 11.64863
278925 4866095 9 702 0 11.30993
278935 4866095 9 702 0 11.30993
278945 4866095 9 702 0 11.30993
278955 4866095 9 702 3.366461 12.01703
278965 4866095 9 702 3.012788 13.37805
278975 4866095 9 702 357.2737 14.72425
278985 4866095 9 702 357.5104 16.05432
278995 4866095 9 702 0 16.69924
279005 4866095 9 702 352.5686 16.16874
279015 4866095 9 703 346.6075 15.10092
279025 4866095 9 703 345.2564 13.79797
279035 4866095 9 704 336.0375 13.8323
279045 4866095 9 705 329.9314 15.34595
279055 4866095 9 707 333.4349 15.61613
277705 4866105 7 724 35.53768 6.13738
277715 4866105 7 724 33.69007 5.150652
277725 4866105 7 723 45 7.054132
277735 4866105 7 722 45 8.049467
277745 4866105 7 721 45 8.049467
277755 4866105 7 720 35.53768 6.13738
277765 4866105 7 720 33.69007 5.150652
277775 4866105 7 719 45 7.054132
277785 4866105 7 718 35.53768 6.13738
277795 4866105 7 718 33.69007 5.150652
277805 4866105 7 717 45 6.054499
277815 4866105 7 716 33.69007 5.150652
277825 4866105 7 716 35.53768 6.13738
277835 4866105 7 715 45 8.049467
277845 4866105 7 714 26.56505 6.37937
277855 4866105 7 714 26.56505 6.37937
277865 4866105 7 713 45 8.049467
277875 4866105 7 712 45 8.049467
277885 4866105 7 711 37.87498 8.111279
277895 4866105 7 710 21.80141 7.667577
277905 4866105 7 710 29.0546 7.333393
277915 4866105 7 709 26.56505 6.37937
277925 4866105 7 709 26.56505 6.37937
277935 4866105 7 708 26.56505 6.37937
277945 4866105 7 708 0 5.710593
277955 4866105 7 708 6.340192 6.457954
277965 4866105 7 708 21.80141 7.667577
277975 4866105 7 707 18.43495 6.762861
277985 4866105 7 707 0 5.710593
277995 4866105 7 707 0 5.710593
278005 4866105 7 707 0 5.710593
278015 4866105 7 707 0 5.710593
278025 4866105 7 707 0 5.710593
278035 4866105 7 707 0 5.710593
278045 4866105 7 707 0 5.710593
278055 4866105 7 707 0 5.710593
278065 4866105 7 707 341.5651 6.762861
278075 4866105 7 708 338.1986 7.667577
278085 4866105 7 708 353.6598 6.457954
278095 4866105 7 708 333.4349 6.37937
