"s.index","long","lat","merge.index"
182,-87.3056,33.4597,-2.92121918432
183,-87.3047,41.6067,-3.63246046149
184,-87.29,37.9536,-3.312969744
185,-87.2783,38.0519,-3.32110514377
186,-87.2044,30.525,-2.66191431
187,-87.1992,41.6175,-3.629012706
188,-87.1375,35.9514,-3.1327151175
189,-87.0756,37.7808,-3.28978582848
190,-87.0353,41.5114,-3.61295715242
191,-87.0036,33.3311,-2.89992569196
192,-86.9936,45.2378,-3.93539907808
193,-86.99,38.9856,-3.391357344
194,-86.9706,34.5286,-3.00297305916
195,-86.9425,33.8017,-2.93880430225
196,-86.915,33.4856,-2.910400924
197,-86.9075,41.7169,-3.62551148675
198,-86.8969,37.9389,-3.29677279941
199,-86.825,33.3169,-2.8927398425
200,-86.8167,33.3864,-2.89849707288
201,-86.815,33.553,-2.912903695
202,-86.7739,33.5783,-2.91372004637
203,-86.7445,36.2047,-3.14055859915
204,-86.6847,41.6292,-3.60861471324
205,-86.6692,33.7047,-2.92115938524
206,-86.6211,36.1506,-3.13140473766
207,-86.6036,38.1131,-3.30073166716
208,-86.5989,35.7328,-3.09442117392
209,-86.5917,34.6917,-3.00401327889
210,-86.5664,36.7086,-3.17773135104
211,-86.5642,36.4539,-3.15560269038
212,-86.5528,40.54,-3.508850512
213,-86.5492,33.5453,-2.90331887876
214,-86.4778,39.5755,-3.4224021739
215,-86.3972,39.7589,-3.43505763508
216,-86.3953,39.9975,-3.45559601175
217,-86.3705,41.5517,-3.58884110485
218,-86.3111,43.2781,-3.73538041691
219,-86.3097,42.1978,-3.64207945866
220,-86.2944,43.9533,-3.79292365152
221,-86.2861,36.0603,-3.11150265183
222,-86.2564,32.4069,-2.79530252916
223,-86.2506,37.0367,-3.19443759702
224,-86.2428,44.307,-3.8211597396
225,-86.2147,41.6967,-3.59486848149
226,-86.1861,39.7489,-3.42580267029
227,-86.1525,39.4172,-3.395890323
228,-86.1486,42.7678,-3.68438609508
229,-86.1481,37.1314,-3.19879956034
230,-86.1367,32.4983,-2.79929631761
231,-86.1147,39.8108,-3.42829509876
232,-86.1106,41.7525,-3.5953328265
233,-86.1094,44.6169,-3.84193448886
234,-86.0806,38.9208,-3.35032581648
235,-86.0608,39.7892,-3.42429038336
236,-86.05,33.9,-2.917095
237,-86.0214,39.8589,-3.42871838046
238,-86.0017,41.8956,-3.60309282252
239,-85.9503,46.2889,-3.97854484167
240,-85.8961,38.0608,-3.26927428288
241,-85.8736,39.6114,-3.40157351904
242,-85.8528,42.8944,-3.68260434432
243,-85.8517,37.7064,-3.23715854088
244,-85.8405,39.935,-3.4280403675
245,-85.8342,38.3081,-3.28814511702
246,-85.8247,41.7178,-3.58041766966
247,-85.7389,44.1808,-3.78801319312
248,-85.7331,36.0386,-3.08970089766
249,-85.7131,37.9856,-3.25586353136
250,-85.6711,42.9847,-3.68254653217
251,-85.6611,40.8158,-3.49632632538
252,-85.6569,40.0025,-3.42649014225
253,-85.6544,38.2286,-3.27444779584
254,-85.6356,38.4297,-3.29095041732
255,-85.6044,30.8475,-2.640681729
256,-85.5783,38.1372,-3.26371674276
257,-85.5419,42.2781,-3.61654900239
258,-85.4433,38.3986,-3.28090309938
259,-85.4233,31.1889,-2.66425876137
260,-85.4167,43.1767,-3.68801123089
261,-85.4081,34.4742,-2.94437592102
262,-85.3803,40.9606,-3.49722831618
263,-85.2453,40.2995,-3.43534296735
264,-85.1697,35.14,-2.992863258
265,-85.1622,35.1028,-2.98943167416
266,-85.1019,41.0947,-3.49723704993
267,-85.0839,32.4678,-2.76248704842
268,-85.0483,37.7044,-3.20669512252
269,-85.0453,33.9283,-2.88544245199
270,-85.0172,41.2217,-3.50455351324
271,-84.9903,30.1103,-2.55908343009
272,-84.9458,35.2889,-2.99764384162
273,-84.9436,32.5214,-2.76248479304
274,-84.8919,44.3105,-3.76160253495
275,-84.8528,38.9181,-3.30230975568
276,-84.8433,32.5394,-2.76075007602
277,-84.7789,33.7433,-2.86071985637
278,-84.7461,33.4039,-2.83085024979
279,-84.7283,39.5325,-3.34952151975
280,-84.7206,39.8356,-3.37489593336
281,-84.6994,39.2158,-3.32155473052
282,-84.6269,34.785,-2.9437467165
283,-84.6117,37.0978,-3.13890792426
284,-84.6075,34.0144,-2.877873348
285,-84.5892,37.8933,-3.20536393236
286,-84.5442,39.3831,-3.32961268302
287,-84.5361,42.7375,-3.61286157375
288,-84.5131,39.127,-3.3067440637
289,-84.5,38.065,-3.2164925
290,-84.4744,39.0217,-3.29633469448
291,-84.405,33.1786,-2.800439733
292,-84.3939,42.7981,-3.61189857159
293,-84.3914,39.5314,-3.33611018996
294,-84.3658,39.2756,-3.31351741448
295,-84.3578,33.7206,-2.84459563068
296,-84.3483,30.4397,-2.56753694751
297,-84.3417,35.7194,-3.01263491898
298,-84.2731,33.6906,-2.83921130286
299,-84.2231,35.965,-3.0290837915
300,-84.2025,39.42,-3.31926255
301,-84.1992,30.4844,-2.56676209248
302,-84.1617,33.4347,-2.81392119099
303,-84.1442,39.0831,-3.28861618302
304,-84.1339,39.7847,-3.34724197133
305,-84.1144,40.0844,-3.37167525536
306,-84.0794,31.9531,-2.68659747614
307,-84.0667,33.5856,-2.82343055952
308,-84.0664,33.9636,-2.85519758304
309,-84.0561,34.3778,-2.88966379458
310,-84.0536,40.7708,-3.42693251488
311,-83.9975,39.8556,-3.347770761
312,-83.9467,41.9956,-3.52539203452
313,-83.943,39.6636,-3.3294815748
314,-83.9422,35.6322,-2.99104525884
315,-83.9019,42.4164,-3.55881655116
316,-83.8761,36.0183,-3.02107453263
317,-83.83,36.47,-3.0572801
318,-83.8042,40.0008,-3.35223504336
319,-83.7956,35.2578,-2.95444850568
320,-83.7872,39.4028,-3.30145028416
321,-83.7836,35.6031,-2.98295588916
322,-83.7644,36.085,-3.022638374
323,-83.7369,36.6081,-3.06544880889
324,-83.7189,41.4953,-3.47394087117
325,-83.6694,43.0289,-3.60020224566
326,-83.6117,41.3758,-3.45950097686
327,-83.6089,35.6967,-2.98456182063
328,-83.6014,36.1144,-3.01921440016
329,-83.5997,42.24,-3.531251328
330,-83.5467,41.6442,-3.47923548414
331,-83.5447,32.803,-2.7405167941
332,-83.5264,36.6717,-3.06305508288
333,-83.4981,35.5628,-2.96942623068
334,-83.4756,39.8356,-3.32530061136
335,-83.4617,43.1683,-3.60289970411
336,-83.4436,35.4355,-2.9568656878
337,-83.4306,35.0608,-2.92514358048
338,-83.36,43.61,-3.6353296
339,-83.3575,33.925,-2.8279031875
340,-83.3067,41.6753,-3.47183171451
341,-83.2603,39.6358,-3.30008859874
342,-83.2375,34.805,-2.8970811875
343,-83.2203,37.2831,-3.10271076693
344,-83.2092,42.2283,-3.51378306036
345,-83.1833,42.4631,-3.53222078623
346,-83.0753,35.5872,-2.95641731616
347,-83.0631,40.3522,-3.35177882382
348,-83.0061,42.5467,-3.53163563487
349,-83.0008,42.4308,-3.52179034464
350,-82.9981,40.9172,-3.39604985732
351,-82.9883,38.2383,-3.17333151189
352,-82.9603,40.0867,-3.32560465801
353,-82.9581,39.9653,-3.31544535393
354,-82.9119,35.3028,-2.92702222332
355,-82.8386,34.6533,-2.87063085738
356,-82.8156,40.0867,-3.31980411252
357,-82.7936,42.7314,-3.53788643904
358,-82.7925,35.3792,-2.929132416
359,-82.7578,28.1953,-2.33338099834
360,-82.74,27.7858,-2.298997092
361,-82.7361,27.9711,-2.31421972671
362,-82.7317,38.5483,-3.18916639111
363,-82.7008,28.0903,-2.32309028224
364,-82.692,40.3094,-3.3332649048
365,-82.6431,43.8364,-3.62277598884
366,-82.6339,38.4592,-3.17803368688
367,-82.6192,30.1783,-2.49330700336
368,-82.6186,27.4808,-2.27042522288
369,-82.6,35.5,-2.9323
370,-82.5458,27.6331,-2.28099634598
371,-82.5353,37.4828,-3.09365414284
372,-82.5319,34.623,-2.8575019737
373,-82.4858,36.5819,-3.01748728702
374,-82.4797,27.3503,-2.25584453891
375,-82.4655,27.7403,-2.28761770965
376,-82.4589,38.6289,-3.18529660221
377,-82.445,30.1972,-2.489608154
378,-82.4328,40.0256,-3.29942227968
379,-82.4258,36.5408,-3.01190467264
380,-82.4253,38.4253,-3.16721688009
381,-82.3861,34.3253,-2.82792759833
382,-82.3728,35.0572,-2.88775972416
383,-82.3625,27.0892,-2.231134235
384,-82.3056,28.3322,-2.33189872032
385,-82.2969,29.5467,-2.43160181523
386,-82.2661,35.7728,-2.94288874208
387,-82.2567,34.7517,-2.85856016139
388,-82.1733,29.1928,-2.39886871224
389,-82.1383,27.5792,-2.26530860336
390,-82.1314,33.5819,-2.75812846166
391,-82.1181,39.3078,-3.22788185118
392,-82.1008,29.1708,-2.39494601664
393,-82.0958,41.4208,-3.40047371264
394,-82.0756,34.9886,-2.87171033816
395,-82.0453,36.1056,-2.96229478368
396,-82.0219,33.4333,-2.74226278927
397,-82.0003,27.94,-2.291088382
398,-81.9797,26.5475,-2.17635608575
399,-81.972,28.0294,-2.2976259768
400,-81.933,35.9722,-2.9473102626
401,-81.9114,41.0992,-3.36649301088
402,-81.8642,41.3633,-3.38617346386
403,-81.8536,33.7397,-2.76171590792
404,-81.8164,35.1303,-2.87423467692
405,-81.7886,33.3422,-2.72701185892
406,-81.7231,28.525,-2.3311514275
407,-81.72,26.2992,-2.149170624
408,-81.6367,28.3478,-2.31422084426
409,-81.6283,38.3458,-3.13010246614
410,-81.5869,30.4758,-2.48642604702
411,-81.572,41.5544,-3.3896755168
412,-81.5522,39.325,-3.207040265
413,-81.5333,35.9361,-2.92998882213
414,-81.5031,41.1058,-3.35025012798
415,-81.4964,31.1695,-2.5402020398
416,-81.4617,41.5367,-3.38365019439
417,-81.4597,39.4317,-3.21209445249
418,-81.4533,30.2603,-2.46480129399
419,-81.4231,41.6733,-3.39316927323
420,-81.3814,28.4544,-2.31565890816
421,-81.3767,40.8289,-3.32252114663
422,-81.3628,28.5997,-2.32695167116
423,-81.3403,27.1889,-2.21155328267
424,-81.3372,39.9428,-3.24883551216
425,-81.3303,41.182,-3.3493444146
426,-81.31,28.7456,-2.337304736
427,-81.2753,35.4383,-2.88025846399
428,-81.255,36.8931,-2.9977488405
429,-81.2492,41.5128,-3.37288178976
430,-81.2417,41.7256,-3.38985867752
431,-81.2283,34.9355,-2.83775127465
432,-81.1897,35.9289,-2.91705661233
433,-81.1233,40.9314,-3.32049024162
434,-81.053,29.2069,-2.3673068657
435,-81.0489,32.0683,-2.59910043987
436,-80.9939,29.1092,-2.35766763388
437,-80.965,33.0078,-2.672476527
438,-80.9622,34.0939,-2.76031715058
439,-80.9197,35.1131,-2.84134151807
440,-80.8683,34.1311,-2.76012403413
441,-80.8475,38.8794,-3.1433022915
442,-80.7831,35.2411,-2.84688530541
443,-80.7811,33.8145,-2.73157250595
444,-80.7136,26.6678,-2.15245414208
445,-80.7008,40.1147,-3.23728838176
446,-80.6986,35.5347,-2.86760054142
447,-80.6936,35.3486,-2.85240578896
448,-80.6631,41.2403,-3.32657044293
449,-80.6586,41.0961,-3.31475389146
450,-80.6328,37.9081,-3.05663624568
451,-80.6283,28.0542,-2.26196245386
452,-80.615,40.3661,-3.2541131515
453,-80.5972,41.4539,-3.34106826908
454,-80.5808,40.4231,-3.25732573648
455,-80.5725,41.9592,-3.380757642
456,-80.5578,37.3294,-3.00717433932
457,-80.5408,34.9739,-2.81682588512
458,-80.5042,40.5625,-3.2654516125
459,-80.485,41.215,-3.317189275
460,-80.42,40.4447,-3.252562774
461,-80.395,35.5517,-2.8581789215
462,-80.3597,40.6847,-3.26941028659
463,-80.3467,40.9958,-3.29387724386
464,-80.3419,36.0261,-2.89440532359
465,-80.3269,25.5864,-2.05527619416
466,-80.3167,40.7478,-3.27272882826
467,-80.2953,26.2722,-2.10953418066
468,-80.2897,39.82,-3.197135854
469,-80.2617,40.17,-3.224112489
470,-80.2339,26.7306,-2.14470028734
471,-80.2267,36.1106,-2.89703427302
472,-80.2158,36.2031,-2.90406062898
473,-80.1989,34.6153,-2.77610898317
474,-80.1856,40.3819,-3.23804688064
475,-80.145,41.4269,-3.3201589005
476,-80.1439,36.0508,-2.88925171012
477,-80.097,26.2906,-2.1057981882
478,-80.0606,26.5908,-2.12887540248
479,-80.0372,42.1428,-3.37299171216
480,-80.0164,40.4456,-3.23631130784
481,-79.9611,40.4656,-3.23567388816
482,-79.9367,32.9872,-2.63688791024
483,-79.9211,39.6489,-3.16878370179
484,-79.9033,40.1469,-3.20786979477
485,-79.8842,37.2856,-2.97853032752
486,-79.8586,36.3089,-2.89957792154
487,-79.84,35.26,-2.8151584
488,-79.8011,36.1092,-2.88155388012
489,-79.7447,34.2856,-2.73409488632
490,-79.7322,40.6172,-3.23849871384
491,-79.693,40.428,-3.221828604
492,-79.6617,39.0903,-3.11399975151
493,-79.6569,32.9408,-2.62396201152
494,-79.6025,42.2908,-3.366453407
495,-79.565,40.8142,-3.247381823
496,-79.5131,37.6258,-2.99174399798
497,-79.5061,40.3053,-3.20451721233
498,-79.4667,36.3028,-2.88486371676
499,-79.2514,39.9878,-3.16908913292
500,-79.1595,35.7569,-2.83049832555
501,-79.0919,36.307,-2.8715896133
502,-79.0119,39.7058,-3.13723069902
503,-78.9625,34.9667,-2.76105804875
504,-78.92,40.5633,-3.201255636
505,-78.9158,40.3097,-3.18107222326
506,-78.8964,35.9917,-2.83961555988
507,-78.8769,35.8925,-2.83108913325
508,-78.8192,38.4772,-3.03274212224
509,-78.7947,35.585,-2.8039093995
510,-78.7764,42.9925,-3.386794377
511,-78.7692,36.1408,-2.84678190336
512,-78.7672,41.5978,-3.27654223216
513,-78.7319,35.1569,-2.76796953511
514,-78.5742,35.8558,-2.81734080036
515,-78.5261,41.1175,-3.22879691675
516,-78.5047,38.6631,-3.03523506657
517,-78.5039,38.0764,-2.98914589796
518,-78.4792,43.2189,-3.39178469688
519,-78.4786,43.2239,-3.39215115854
520,-78.4636,36.0975,-2.832339801
521,-78.45,38.55,-3.0242475
522,-78.4375,35.5,-2.78453125
523,-78.3889,40.515,-3.1759262835
524,-78.31,37.17,-2.9107827
525,-78.0814,39.2828,-3.06725601992
526,-77.9583,39.4656,-3.07667108448
527,-77.9317,40.7206,-3.17342558302
528,-77.8769,40.8114,-3.17826531666
529,-77.8617,34.3561,-2.67502435137
530,-77.7678,38.475,-2.992116105
531,-77.722,39.5656,-3.0751175632
532,-77.6356,38.8553,-3.01655452868
533,-77.5936,37.3589,-2.89881154304
534,-77.5867,35.9889,-2.79225998763
535,-77.5733,35.235,-2.7332952255
536,-77.5481,43.1461,-3.34589807741
537,-77.49,39.0244,-3.024000756
538,-77.4756,39.9611,-3.09601019916
539,-77.4003,37.5583,-2.90702368749
540,-77.3772,38.2031,-2.95604890932
541,-77.3758,39.4081,-3.04923326398
542,-77.3703,38.4831,-2.97744899193
543,-77.3078,39.9231,-3.08636703018
544,-77.2608,37.3419,-2.88506506752
545,-77.2533,39.9344,-3.08506418352
546,-77.2189,37.6061,-2.90390167529
547,-77.2103,42.0972,-3.25033744116
548,-77.1728,43.2303,-3.33620329584
549,-77.1656,40.4569,-3.12188096264
550,-77.1089,38.7717,-2.98964313813
551,-77.1069,39.1144,-3.01599012936
552,-77.0775,38.7425,-2.98617504375
553,-77.0589,38.8594,-2.99446261866
554,-77.0417,39.4442,-3.03884822314
555,-77.0225,38.9756,-3.001998151
556,-77.0125,38.9189,-2.99724178625
557,-76.9528,38.8972,-2.99324845216
558,-76.9392,41.6447,-3.20410990224
559,-76.9239,41.2508,-3.17317241412
560,-76.9067,35.8111,-2.75411352437
561,-76.8783,39.0553,-3.00250506999
562,-76.8447,40.245,-3.0926149515
563,-76.817,39.0283,-2.9980369211
564,-76.8119,38.5042,-2.95758075998
565,-76.8022,42.1094,-3.23409456068
566,-76.7583,38.8083,-2.97885913389
567,-76.7314,36.6675,-2.8135486095
568,-76.6994,39.9653,-3.06531453082
569,-76.6814,40.2722,-3.08812867708
570,-76.6536,42.4006,-3.25015863216
571,-76.653,38.9025,-2.9819933325
572,-76.6311,39.4608,-3.02392451088
574,-76.6169,38.5367,-2.95256249023
575,-76.55,39.3331,-3.010948805
576,-76.4744,39.3108,-3.00626984352
577,-76.4619,39.8608,-3.04783250352
578,-76.31,44.13,-3.3675603
579,-76.2967,39.41,-3.006852947
580,-76.2833,40.0467,-3.05489443011
581,-76.2039,39.5633,-3.01487775687
582,-76.1125,40.0439,-3.04784133875
583,-76.1111,38.445,-2.9260912395
584,-76.0597,43.0528,-3.27458305216
585,-76.0033,41.2092,-3.13203519036
586,-75.9744,44.0878,-3.34954415232
587,-75.9686,40.3831,-3.06784757066
588,-75.86,39.7011,-3.011725446
